_id,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,rank,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
1212,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3500,3200,0.0573088,3400,87.6,4200,3765,3669,2016,91.9
1213,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3740,3350,0.0573088,3400,74.1,4026,3707,3549,2016,85.2
1214,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3350,3000,0.0573088,3300,65.5,3832,3470,3432,2016,79.3
1215,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3500,3300,0.0573088,3450,78.9,4250,3879,3788,2016,80.3
1216,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),National University of Singapore,3540,3200,0.0573088,3300,78.4,3900,3501,3381,2016,90.2
1217,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3400,3150,0.0573088,3300,81,3800,3560,3470,2016,86.6
1218,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,National University of Singapore,4900,4200,0.0573088,4775,95.9,5600,4898,4844,2016,97.7
1219,Faculty of Science,Bachelor of Applied Science **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2016,na
1220,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,3130,2800,0.0573088,2800,61.9,3350,3058,2905,2016,81
1221,Faculty of Science,Bachelor of Science,National University of Singapore,3000,2600,0.0573088,3000,59.4,3225,2995,2895,2016,84.3
1222,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3300,3000,0.0573088,3300,71.7,3650,3386,3331,2016,84.9
1223,Faculty of Science,Bachelor of Science (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2016,na
1224,Faculty of Science,Bachelor of Science (Pharmacy)(Hons) #,National University of Singapore,3600,3300,0.0573088,3500,97.2,3950,3597,3500,2016,99.1
1225,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2837,0.0573088,3000,80.7,3500,3282,3232,2016,93.6
1226,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3620,3258,0.0573088,3600,92.8,4500,4207,4126,2016,96.4
1227,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2963,2800,0.0573088,2900,86.4,3100,3020,2977,2016,88.6
1228,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3075,2900,0.0573088,3000,99,3800,3465,3435,2016,99
1229,School of Computing,Bachelor of Computing (Communications And Media) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2016,na
1230,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,4000,3500,0.0573088,4000,93.3,5000,4385,4320,2016,96.3
1231,School of Computing,Bachelor of Computing (Electronic Commerce) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2016,na
1232,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,4000,3365,0.0573088,3800,94,4500,3969,3875,2016,94
1233,School of Design & Environment,Bachelor of Arts (Architecture) #,National University of Singapore,4000,3500,0.0573088,4000,89.8,4250,3960,3926,2016,93.2
1234,School of Design & Environment,Bachelor of Arts (Industrial Design),National University of Singapore,3000,2900,0.0573088,3000,65.6,4000,3320,3282,2016,90.6
1235,School of Design & Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2850,0.0573088,3000,84.7,3276,3113,3035,2016,87.8
1236,School of Design & Environment,Bachelor of Science (Real Estate),National University of Singapore,3200,2950,0.0573088,3000,92.4,3735,3368,3247,2016,94.6
1237,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor Of Surgery #,National University of Singapore,5000,4500,0.0573088,4500,99.4,5200,4887,4460,2016,99.4
1238,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),National University of Singapore,3400,3200,0.0573088,3200,90.9,3425,3363,3166,2016,93.2
1239,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),National University of Singapore,3500,3400,0.0573088,3300,95.1,3600,3529,3308,2016,95.1
1240,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,3250,2999,0.0573088,3250,14.3,3500,3250,3250,2016,85.7
1241,Multi-Disciplinary Programme,Bachelor of Environmental Studies,National University of Singapore,3300,3000,0.0573088,3250,67.6,3500,3399,3347,2016,83.8
1242,School of Accountancy (4-year programme) *,Accountancy,Singapore Management University,3000,2900,0.0573088,3000,96,3600,3455,3390,2016,98.5
1243,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,Singapore Management University,3600,3000,0.0573088,3500,100,4583,3943,3827,2016,100
1244,School of Business (4-year programme) *,Business Management,Singapore Management University,3500,3000,0.0573088,3400,84.6,4000,3831,3727,2016,92.4
1245,School of Business (4-year programme) *,Business Management Cum Laude and above,Singapore Management University,3660,3250,0.0573088,3550,92.1,4583,4234,4140,2016,96.1
1246,School of Economics (4-year programme) *,Economics,Singapore Management University,3700,3200,0.0573088,3500,84,4300,3906,3801,2016,93.4
1247,School of Economics (4-year programme) *,Economics Cum Laude and above,Singapore Management University,4107,3800,0.0573088,4000,92.5,4750,4425,4315,2016,97
1248,School of Information Systems (4-year programme) *,Information Systems Management,Singapore Management University,3600,3200,0.0573088,3500,91.5,4167,3897,3837,2016,95.7
1249,School of Information Systems (4-year programme) *,Information Systems Management Cum Laude and above,Singapore Management University,4167,3800,0.0573088,4167,95,4750,4603,4504,2016,97.5
1250,School of Social Sciences (4-year programme) *,Social Sciences,Singapore Management University,3145,3000,0.0573088,3100,80.4,3500,3311,3199,2016,91.5
1251,School of Social Sciences (4-year programme) *,Social Sciences Cum Laude and above,Singapore Management University,3400,3000,0.0573088,3300,87.2,3668,3548,3405,2016,94.9
1252,School of Law (4-year programme) *,Law #,Singapore Management University,4850,4200,0.0573088,4600,93.7,5800,4915,4810,2016,95.8
1253,School of Law (4-year programme) *,Law Cum Laude and above #,Singapore Management University,5300,4500,0.0573088,4950,96.7,5800,5095,4950,2016,96.7
1254,DigiPen Institute of Technology,Bachelor of Arts in Game Design **,Singapore Institute of Technology,na,na,0.0573088,na,na,na,na,na,2016,na
1255,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,Singapore Institute of Technology,3000,2700,0.0573088,3000,53.3,3016,3052,3045,2016,73.3
1256,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,Singapore Institute of Technology,3400,3100,0.0573088,3400,85.7,3500,3329,3312,2016,85.7
1257,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,Singapore Institute of Technology,4000,3500,0.0573088,3680,92.9,4200,3803,3729,2016,100
1258,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2600,2500,0.0573088,2600,58.9,2700,2652,2652,2016,91.1
1259,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2515,2200,0.0573088,2500,76.3,2800,2485,2467,2016,97.4
1260,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3300,3080,0.0573088,3100,71.8,3650,3463,3201,2016,85.9
1261,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,Singapore Institute of Technology,3200,2800,0.0573088,3000,79.7,3700,3440,3239,2016,86.4
1262,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,Singapore Institute of Technology,3840,3200,0.0573088,3425,81,4530,3956,3812,2016,95.2
1263,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Singapore Institute of Technology,3200,2900,0.0573088,3000,77.8,3575,3344,3162,2016,87
1264,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,Singapore Institute of Technology,3300,3000,0.0573088,3250,90,3500,3239,3172,2016,90
1265,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,Singapore Institute of Technology,3430,3000,0.0573088,3275,72.7,3600,3286,3172,2016,86.4
1266,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,Singapore Institute of Technology,2600,2420,0.0573088,2600,62.2,2800,2707,2598,2016,86.7
1267,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,3130,2500,0.0573088,2900,67.9,3700,3149,2776,2016,78.6
1268,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering & Information Technology,Singapore Institute of Technology,3000,2825,0.0573088,3000,86.4,3350,3042,2978,2016,90.9
1269,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,Singapore Institute of Technology,2300,2000,0.0573088,2250,69,2500,2344,2231,2016,86.2
1270,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,3660,3400,0.0573088,3385,88.2,3930,3628,3406,2016,88.2
1271,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3200,3100,0.0573088,3200,100,3500,3301,3297,2016,100
1272,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3300,3240,0.0573088,3300,100,3500,3344,3310,2016,100
1273,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,Singapore Institute of Technology,na,na,0.0573088,na,na,na,na,na,2016,na
1274,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3200,2800,0.0573088,3000,65.3,3700,3277,3042,2016,81.6
1275,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3275,2900,0.0573088,3225,64.4,4009,3390,3312,2016,82.2
1276,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3200,3000,0.0573088,3000,70.4,3365,3273,3187,2016,87
1277,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3300,3000,0.0573088,3200,80.3,3800,3523,3406,2016,88.7
1278,University of Glasgow,Bachelor of Science with Honours in Computing Science,Singapore Institute of Technology,3600,3400,0.0573088,3600,81.6,3900,3704,3645,2016,89.8
1279,University of Manchester,Bachelor of Science with Honours in Nursing Practice,Singapore Institute of Technology,3600,3400,0.0573088,3400,85.5,3750,3600,3378,2016,92.7
1280,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,4200,3700,0.0573088,4200,81.5,4600,4131,4096,2016,92.6
1281,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2700,2600,0.0573088,2700,92,2850,2707,2705,2016,98
1282,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3600,3300,0.0573088,3500,79.7,3750,3690,3620,2016,87
1283,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,4000,3500,0.0573088,4000,91.9,4950,4232,4197,2016,91.9
1284,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3650,3550,0.0573088,3600,93.5,4200,3830,3695,2016,100
1285,na,Bachelor of Science (Architecture and Sustainable Design) ###,Singapore University of Technology and Design,na,na,0.0573088,na,na,na,na,na,2016,na
439,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),Nanyang Technological University,3000,2900,0.0573088,3000,94.5,3100,3166,3121,2017,97.1
440,College of Business (Nanyang Business School),Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),Nanyang Technological University,3600,3013,0.0573088,3500,94.3,4317,3892,3830,2017,97.2
441,College of Business (Nanyang Business School),Bachelor of Business (Hons),Nanyang Technological University,3300,3000,0.0573088,3300,80.8,3800,3643,3530,2017,93
442,College of Business (Nanyang Business School),Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,5000,4000,0.0573088,4750,95,5362,5225,5036,2017,100
443,College of Engineering,Bachelor of Engineering (Hons) (Aerospace Engineering),Nanyang Technological University,3500,3250,0.0573088,3492,75,4210,3702,3645,2017,80
444,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
445,College of Engineering,Bachelor of Engineering (Hons) (Bioengineering),Nanyang Technological University,3419,3000,0.0573088,3200,65.2,3825,3486,3326,2017,78.3
446,College of Engineering,Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Nanyang Technological University,3500,3200,0.0573088,3200,75.3,4000,3577,3326,2017,82.3
447,College of Engineering,Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
448,College of Engineering,Bachelor of Engineering (Hons) (Civil Engineering),Nanyang Technological University,3400,3190,0.0573088,3300,96.9,3675,3442,3373,2017,98.5
449,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
450,College of Engineering,Bachelor of Engineering (Hons) (Computer Engineering),Nanyang Technological University,3600,3450,0.0573088,3600,87.8,3925,3743,3667,2017,95.1
451,College of Engineering,Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,3850,3500,0.0573088,3750,86.7,4500,4160,4078,2017,92.4
452,College of Engineering,Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering) **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
453,College of Engineering,Bachelor of Engineering (Hons) (Electrical & Electronic Engineering),Nanyang Technological University,3600,3200,0.0573088,3500,85,4000,3657,3532,2017,89.3
454,College of Engineering,Bachelor of Engineering (Hons) (Environmental Engineering),Nanyang Technological University,3635,3200,0.0573088,3475,64.1,3950,3588,3538,2017,71.8
455,College of Engineering,Bachelor of Engineering (Hons) (Information Engineering & Media),Nanyang Technological University,3700,3350,0.0573088,3677,78.7,4200,3790,3685,2017,86.9
456,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
457,College of Engineering,Bachelor of Science (Hons) (Maritime Studies),Nanyang Technological University,3320,3000,0.0573088,3200,92.2,3500,3333,3279,2017,92.2
458,College of Engineering,Bachelor of Engineering (Hons) (Materials Engineering),Nanyang Technological University,3375,3200,0.0573088,3200,75.6,3700,3434,3288,2017,84.9
459,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
460,College of Engineering,Bachelor of Engineering (Hons) (Mechanical Engineering),Nanyang Technological University,3450,3100,0.0573088,3300,74.9,4000,3579,3422,2017,82.7
461,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
462,College of Engineering,Bachelor of Fine Arts (Hons),Nanyang Technological University,2800,2500,0.0573088,2800,54,3200,2909,2862,2017,88.5
463,College of Engineering,Bachelor of Arts (Hons) in Chinese,Nanyang Technological University,3300,2750,0.0573088,3300,67.7,3500,3147,3119,2017,84.6
464,College of Engineering,Bachelor of Communication Studies (Hons),Nanyang Technological University,3000,2775,0.0573088,3000,62.2,3500,3184,3134,2017,92.6
465,College of Engineering,Bachelor of Arts (Hons) in Economics,Nanyang Technological University,3240,3000,0.0573088,3200,75.5,3720,3379,3286,2017,84.7
466,College of Engineering,Bachelor of Arts (Hons) in English,Nanyang Technological University,3000,2800,0.0573088,3000,50.8,3300,3149,3042,2017,77.8
467,College of Engineering,Bachelor of Arts (Hons) in History,Nanyang Technological University,3200,3000,0.0573088,3100,68.4,3600,3265,3206,2017,86
468,College of Engineering,Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Nanyang Technological University,3100,2600,0.0573088,3000,60,3500,3117,3042,2017,80
469,College of Engineering,Bachelor of Arts (Hons) in Philosophy **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2017,na
470,College of Engineering,Bachelor of Arts (Hons) in Psychology,Nanyang Technological University,3200,2890,0.0573088,3107,59.2,3500,3151,3107,2017,78.9
471,College of Engineering,Bachelor of Arts (Hons) in Public Policy And Global Affairs,Nanyang Technological University,3395,3160,0.0573088,3300,66.7,3750,3479,3353,2017,74.1
472,College of Engineering,Bachelor of Arts (Hons) in Sociology,Nanyang Technological University,3228,2970,0.0573088,3200,62.1,3500,3309,3263,2017,77.6
473,College of Sciences,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #,Nanyang Technological University,2950,2500,0.0573088,2928,80,3035,2792,2722,2017,92
474,College of Sciences,Bachelor of Science (Hons) in Biological Sciences,Nanyang Technological University,3200,3000,0.0573088,3100,62.6,3500,3255,3177,2017,80.4
475,College of Sciences,Bachelor of Science (Hons) in Chemistry & Biological Chemistry,Nanyang Technological University,3100,2800,0.0573088,3000,51.1,3488,3173,3035,2017,70.1
476,College of Sciences,Bachelor of Science (Hons) in Mathematical Sciences,Nanyang Technological University,3500,3100,0.0573088,3400,79.5,3800,3580,3517,2017,89.7
477,College of Sciences,Bachelor of Science (Hons) in Mathematics & Economics,Nanyang Technological University,3400,3013,0.0573088,3290,83.1,3775,3625,3504,2017,89.8
478,College of Sciences,Bachelor of Science (Hons) in Physics/Applied Physics,Nanyang Technological University,3300,3000,0.0573088,3300,61.8,3819,3490,3367,2017,81.6
479,Sports Science and Management,Bachelor of Science (Hons) (Sport Science & Management),Nanyang Technological University,3450,2800,0.0573088,3285,48.6,4000,3486,3372,2017,81.1
480,National Institute of Education (NIE),Bachelor of Arts (Hons) (Education),Nanyang Technological University,3600,3500,0.0573088,3600,100,3800,3589,3489,2017,100
481,National Institute of Education (NIE),Bachelor of Science (Hons) (Education),Nanyang Technological University,3701,3500,0.0573088,3603,100,3958,3701,3610,2017,100
482,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,3000,2700,0.0573088,3000,61.9,3300,3107,3005,2017,85.8
483,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3360,3000,0.0573088,3300,66.7,3600,3391,3309,2017,88.2
484,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,National University of Singapore,3300,3000,0.0573088,3300,74.7,3750,3443,3365,2017,88.3
486,Faculty Of Engineering,Bachelor of Engineering (Biomedical Engineering),National University of Singapore,3300,3000,0.0573088,3200,81.3,3700,3367,3215,2017,90.6
487,Faculty Of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3600,3300,0.0573088,3500,81.3,4000,3727,3550,2017,87.8
488,Faculty Of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3300,3135,0.0573088,3300,90.9,3700,3427,3361,2017,95.5
489,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3600,3300,0.0573088,3500,86.5,3900,3641,3529,2017,89.4
490,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3675,3440,0.0573088,3600,64.7,4200,3827,3783,2017,76.5
491,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3350,3000,0.0573088,3100,71.2,3800,3546,3425,2017,86.3
492,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3875,3450,0.0573088,3725,89.9,4200,4035,3905,2017,93.3
493,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),National University of Singapore,3388,3200,0.0573088,3200,86,3950,3570,3269,2017,94
494,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3450,3100,0.0573088,3400,82.3,4000,3657,3537,2017,87.3
495,Faculty of Law,Bachelor of Laws #,National University of Singapore,5000,4500,0.0573088,5000,92.3,5600,5121,4958,2017,95.8
496,Faculty of Science,Bachelor of Applied Science **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
497,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,3085,2800,0.0573088,3075,50,3200,3187,3186,2017,82.1
498,Faculty of Science,Bachelor of Science,National University of Singapore,3082,2800,0.0573088,3000,54.5,3400,3214,3053,2017,76.9
499,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3300,3000,0.0573088,3200,69.3,3700,3435,3340,2017,85.9
500,Faculty of Science,Bachelor of Science (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
501,Faculty of Science,Bachelor of Science (Pharmacy) #,National University of Singapore,3600,3500,0.0573088,3500,94.5,3800,3616,3473,2017,99.1
502,NUS Business School,Bachelor of Business Administration,National University of Singapore,3500,3000,0.0573088,3400,87.3,4333,4031,3770,2017,94.9
503,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3800,3450,0.0573088,3725,93.6,4782,4388,4272,2017,98.2
504,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,3025,3000,0.0573088,3000,94.4,3600,3473,3396,2017,97.2
505,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3125,3000,0.0573088,3100,100,4023,3744,3689,2017,100
506,School of Computing,Bachelor of Computing (Communications And Media) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
507,School of Computing,Bachelor of Computing (Computational Biology) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
508,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,4285,3656,0.0573088,4200,89.4,5000,4628,4510,2017,93.5
509,School of Computing,Bachelor of Computing (Electronic Commerce) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
510,School of Computing,Bachelor of Computing (Information Security) **,National University of Singapore,na,na,0.0573088,na,na,na,na,na,2017,na
511,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,4000,3550,0.0573088,4000,91.8,4592,4192,4061,2017,94.5
512,School of Computing,Bachelor of Science (Business Analytics),National University of Singapore,4000,3500,0.0573088,3810,97.6,4766,4203,4114,2017,97.6
513,School of Design & Environment,Bachelor of Arts (Architecture) #,National University of Singapore,4000,3780,0.0573088,4000,86.4,4300,4079,4037,2017,91.3
514,School of Design & Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2920,2600,0.0573088,2890,60,3200,3079,3034,2017,93.3
515,School of Design & Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2900,0.0573088,3000,81.7,3300,3162,3105,2017,90.8
516,School of Design & Environment,Bachelor of Science (Real Estate),National University of Singapore,3000,2800,0.0573088,3000,88.7,3300,3168,3090,2017,93.8
517,Yong Loo Lin School (Medicine),Bachelor of Medicine And Bachelor Of Surgery #,National University of Singapore,5000,4500,0.0573088,4500,100,5305,4882,4367,2017,100
518,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),National University of Singapore,3400,3200,0.0573088,3200,97.4,3450,3328,3165,2017,97.4
519,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),National University of Singapore,3500,3300,0.0573088,3300,89.8,3650,3462,3280,2017,91.8
520,YST Conservatory Of Music,Bachelor of Music,National University of Singapore,2225,2050,0.0573088,2025,26.7,2950,2500,2298,2017,73.3
521,Yale-NUS College,Bachelor of Arts with Honours,National University of Singapore,3500,3075,0.0573088,3500,76.6,4000,3956,3812,2017,93.5
522,Yale-NUS College,Bachelor of Science with Honours,National University of Singapore,4083,3600,0.0573088,4083,75,4875,4362,4362,2017,91.7
523,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),National University of Singapore,3900,3588,0.0573088,3600,84.7,4500,4131,4010,2017,89.4
524,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,National University of Singapore,3300,3000,0.0573088,3200,62.3,3600,3419,3297,2017,88.7
525,School of Accountancy (4-years programme) *,Accountancy,Singapore Management University,3000,2920,0.0573088,3000,96.6,3600,3646,3569,2017,98
526,School of Accountancy (4-years programme) *,Accountancy Cum Laude and above,Singapore Management University,3200,3000,0.0573088,3200,97.8,4645,4089,4037,2017,97.8
527,School of Business (4-years programme) *,Business Management,Singapore Management University,3500,3050,0.0573088,3475,85.7,4362,3995,3862,2017,93.3
528,School of Business (4-years programme) *,Business Management Cum Laude and above,Singapore Management University,4000,3300,0.0573088,3880,92,5000,4504,4364,2017,95.8
529,School of Economics (4-years programme) *,Economics,Singapore Management University,3700,3300,0.0573088,3600,82.6,4583,4143,4013,2017,91.3
530,School of Economics (4-years programme) *,Economics Cum Laude and above,Singapore Management University,4100,3600,0.0573088,4000,90.5,5113,4737,4591,2017,93.2
531,School of Information Systems (4-years programme) *,Information Systems Management,Singapore Management University,4000,3550,0.0573088,3905,91.3,4500,4014,3922,2017,95.1
532,School of Information Systems (4-years programme) *,Information Systems Management Cum Laude and above,Singapore Management University,4334,4000,0.0573088,4334,94.1,4750,4305,4211,2017,96.1
533,School of Social Sciences (4-years programme) *,Social Sciences,Singapore Management University,3300,3000,0.0573088,3250,78,3750,3493,3344,2017,91.3
534,School of Social Sciences (4-years programme) *,Social Sciences Cum Laude and above,Singapore Management University,3630,3300,0.0573088,3600,81.8,4000,3938,3810,2017,87.9
535,School of Law (4-years programme) *,Law #,Singapore Management University,5000,4000,0.0573088,4500,94,5840,4941,4778,2017,97.6
536,School of Law (4-years programme) *,Law Cum Laude and above #,Singapore Management University,5600,4200,0.0573088,5450,97.9,6000,5287,5163,2017,97.9
537,DigiPen Institute of Technology,Bachelor of Arts in Game Design ^,Singapore Institute of Technology,3000,2800,0.0573088,3000,92.3,3200,3067,3040,2017,96.2
538,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation ^,Singapore Institute of Technology,2875,2700,0.0573088,2825,69.2,3000,2876,2859,2017,88.5
485,Faculty Of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4050,4000,0.0573088,4050,100,4400,4143,4124,2017,100
539,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design ^,Singapore Institute of Technology,3250,2900,0.0573088,3250,100,3600,3291,3232,2017,100
540,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,Singapore Institute of Technology,3800,3558,0.0573088,3800,90.6,4140,3904,3898,2017,96.9
541,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2700,2500,0.0573088,2600,68.5,3200,2949,2819,2017,90.7
542,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2700,2500,0.0573088,2700,87.2,3000,2841,2818,2017,92.3
543,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3255,2975,0.0573088,3100,62.1,3600,3290,3061,2017,77.3
544,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,Singapore Institute of Technology,3200,3000,0.0573088,3200,88.9,3450,3269,3191,2017,94.4
545,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering ^,Singapore Institute of Technology,3500,3000,0.0573088,3300,88.5,4000,3541,3461,2017,96.2
546,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Singapore Institute of Technology,3000,2800,0.0573088,3000,85.7,3350,3145,3063,2017,90.5
547,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture ^,Singapore Institute of Technology,3300,3200,0.0573088,3300,95.5,3500,3537,3451,2017,95.5
